gemeente;Borsele;Goes;Hulst;Kapelle;Middelburg;Noord-Beveland;Reimerswaal;Schouwen-Duiveland;Sluis;Terneuzen;Tholen;Veere;Vlissingen
Meetwaarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde;Waarde
Gerealiseerd rekeningsresultaat;11108;6465;2094;3689;11652;4019;2042;2902;13726;15336;11593;8633;9702
Gerealiseerd structureel rekeningresultaat;4774;3213;4320;-425;23026;5675;-1888;6630;12009;12679;10351;595;8728
Gerealiseerd structureel en reëel rekeningresultaat;4774;3213;4320;-425;23026;5675;4210;6630;12009;12679;10351;9228;8728
Algemene reserves;17265;34594;25246;7092;31727;16502;25786;33326;12727;28611;42314;21440;-43964
Bestemmingsreserves;21536;47260;21088;20202;39389;16442;29608;33546;43947;72648;9242;25149;84089
Voorzieningen;5818;23676;13435;3458;36740;2641;8634;32127;18598;15183;9706;9962;25856
Baten (excl. reservemutaties);82523;185036;96994;45078;226331;39611;76940;162348;112321;230167;104267;93547;295716
Lasten (excl. reservemutaties);71967;176220;87591;42545;203758;32886;68243;149779;92358;203551;86954;81535;251651
Balanstotaal;89414;295780;105910;87425;265615;55769;103453;230361;167776;296058;137072;149031;234759
Eigen Vermogen;49910;88320;48427;30982;82768;36963;57437;69774;70400;116596;63149;55222;49829
Vreemd Vermogen;39504;207460;57483;56443;182847;18806;46016;160587;97376;179462;73923;93809;184930
Boekwaarde Grondexploitatie (bruto);-2365;6361;1827;3976;61378;643;-5893;1053;1562;8020;11125;6083;167218
Netto schuldquote (opgave gemeente);-15;73;26,18;88;38;-5,24;17;31,8;15;39,2;19;32;39
Netto schuldquote gecorrigeerd (opgave gemeente);-15;67;25,68;84;29;-7,77;10;28,9;15;38,6;16;20;39
Solvabiliteitsratio (opgave gemeente);55;30;46;35;31;66,28;56;29,5;42;39,4;46;37;21
Grondexploitatie (opgave gemeente);-3;3;1,88;9;21;1,24;-8;1,2;1;3,3;11;4;9
Structurele exploitatieruimte (opgave gemeente);1;1,7;4,54;0;9;6,02;8;12,5;8;6;7,2;4,5;3
Belastingcapaciteit (opgave gemeente);97;102;97,41;94;97;83,38;91;109;98;91,2;89;88;100
Aantal inwoners;0;39433;27596;0;49956;7694;23255;34561;23219;54993;26825;21924;44967
;;;;;;;;;;;;;
"Toegepaste filters: 
 [JaarAsDatum] is 2023";;;;;;;;;;;;;
